"/roll_ref/data_x","/roll_ref/data_y","/roll_mv/data_x","/roll_mv/data_y"
0.0566110611,0,0.08235001564,0.0001047470579,
0.1577050686,-0.0003,0.1059989929,9.745453275e-05,
0.2587230206,-0.0003,0.1260359287,9.573821584e-05,
0.362030983,-0.0003,0.1438930035,9.694958343e-05,
0.4620990753,-0.0003,0.1645231247,0.0001064828904,
0.5640890598,0,0.1843929291,0.0001142746981,
0.6645121574,-0.0003,0.2048420906,0.000128497139,
0.7647211552,-0.0003,0.2253329754,0.0001373619091,
0.8689880371,-0.0003,0.2462551594,0.0001362514901,
0.9667930603,-0.0003,0.2664899826,0.0001275978625,
1.068482161,-0.0003,0.2922000885,0.0001213134268,
1.170562983,-0.0003,0.3114819527,0.0001052171736,
1.272398949,-0.0003,0.3278779984,9.675979389e-05,
1.375306129,-0.0003,0.3485479355,9.8598697e-05,
1.477488041,0,0.3685090542,0.0001155002663,
1.581181049,-0.0003,0.3895499706,0.000143816594,
1.681797981,-0.0003,0.409817934,0.0001593599646,
1.78619194,-0.0003,0.4305460453,0.0001850829739,
1.889307022,-0.0003,0.4508111477,0.0001979279757,
1.991024971,-0.0003,0.4713060856,0.0001935207758,
2.094486952,-0.0003,0.4917120934,0.0001883204328,
2.198265076,-0.0003,0.5130209923,0.0001722842075,
2.300332069,-0.0003,0.532599926,0.0001585545226,
2.401987076,-0.0003,0.5530369282,0.0001588510525,
2.504390955,0,0.5736019611,0.0001636755564,
2.611603975,0,0.5941541195,0.0001816005481,
2.710886955,-0.0003,0.6146941185,0.0002052835127,
2.814763069,-0.0003,0.6351399422,0.0002170294613,
2.911587,-0.0003,0.655905962,0.0002340706581,
3.017275095,-0.0003,0.6759729385,0.0002396907504,
3.119447947,-0.0003,0.6965060234,0.0002390240618,
3.221327066,-0.0003,0.717828989,0.000232166376,
3.323401928,-0.0003,0.7376861572,0.0002232419673,
3.425868988,0,0.7582850456,0.000214058674,
3.529220104,-0.0003,0.7807431221,0.0002115933291,
3.628636122,-0.0003,0.7997391224,0.0002105795101,
3.731600046,-0.0003,0.8201429844,0.0002169321114,
3.832386971,-0.0003,0.8404941559,0.0002276719463,
3.933059931,-0.0003,0.8608779907,0.0002334138221,
4.035212994,-0.0003,0.8813230991,0.0002444448653,
4.136708021,-0.0003,0.9022059441,0.0002526485733,
4.239777088,0,0.922424078,0.0002533181687,
4.342937946,-0.0003,0.9427859783,0.0002456929909,
4.443686962,-0.0003,0.9634969234,0.0002400711033,
4.546317101,-0.0003,0.9841840267,0.0002279359001,
4.651499033,0,1.004514933,0.0002154217478,
4.750772953,0,1.026252985,0.0002103806742,
