"/roll_ref/data_x","/roll_ref/data_y","/roll_mv/data_x","/roll_mv/data_y"
0.7670860291,0.04714166293,0.08158993721,0.1381635395,
0.7697880268,0.04428443155,0.1016750336,0.1381331662,
0.8086829185,0.04140948698,0.1230618954,0.1380746753,
0.8098731041,0.03851797916,0.1440610886,0.1379835569,
0.8463890553,0.03561106467,0.1654520035,0.1378895369,
0.8507208824,0.03268990623,0.1902449131,0.1377993433,
0.8873651028,0.02975567227,0.208081007,0.1377412922,
0.8897190094,0.02680953643,0.2284419537,0.1376835848,
0.9267139435,0.02385267713,0.2490289211,0.1375940024,
0.9301431179,0.02088627708,0.2696239948,0.1375577744,
0.9679059982,0.0179115228,0.2899620533,0.1374651727,
0.9700698853,0.01492960414,0.3105061054,0.1373447448,
1.006407976,0.01194171385,0.3310170174,0.1371984337,
1.010624886,0.008949047026,0.3534560204,0.1371195067,
1.047585964,0.005952800704,0.3721981049,0.1368895144,
1.050725937,0.002954173342,0.3926270008,0.1366433433,
1.087927103,-4.563564958e-05,0.4130129814,0.1363252593,
1.090131998,-0.003045426388,0.4335260391,0.1361223393,
1.127343893,-0.006043998996,0.453950882,0.1356896924,
1.130553961,-0.009040154086,0.4743690491,0.1351983623,
1.16780591,-0.01203269323,0.4949729443,0.1346484309,
1.170038939,-0.01502041947,0.5153069496,0.1343469785,
1.20749402,-0.01800213773,0.5358059406,0.1337015547,
1.210668087,-0.02097665538,0.5563840866,0.1329570445,
1.246085882,-0.02394278264,0.5766260624,0.1321927269,
1.250396013,-0.02689933312,0.5983269215,0.1317700514,
1.287867069,-0.02984512422,0.6179070473,0.1308496824,
1.289997101,-0.03277897766,0.639729023,0.1298314269,
1.326083899,-0.03569971995,0.6585218906,0.1293187672,
1.33039403,-0.03860618283,0.6799058914,0.128210199,
1.364422083,-0.04149720376,0.6995949745,0.1270530851,
1.370631933,-0.04437162635,0.7209060192,0.1264618134,
1.405704021,-0.04722830088,0.7403080463,0.1252089633,
1.40977788,-0.05006608473,0.7621259689,0.1238996765,
1.447303057,-0.05288384281,0.7812979221,0.1225181395,
1.449873924,-0.05568044805,0.8031260967,0.1218638777,
1.486076117,-0.05845478186,0.8222770691,0.1204120019,
1.490257025,-0.06120573454,0.8443670273,0.1189696302,
1.525449038,-0.06393220573,0.8631880283,0.1174463168,
1.530616999,-0.0666331049,0.883908987,0.1166719744,
1.566715956,-0.06930735172,0.9042379856,0.1149891935,
1.569854975,-0.07195387651,0.9249820709,0.1132412157,
1.608200073,-0.07457162072,0.9451329708,0.1114794941,
1.610486031,-0.07715953727,0.9655098915,0.1105368531,
1.649013996,-0.07971659104,0.9860019684,0.1085124889,
1.650224924,-0.08224175923,1.006486893,0.1063364713,
1.686115026,-0.08473403182,1.027031898,0.1052188219,
1.690313101,-0.08719241192,1.047771931,0.1028267038,
1.727757931,-0.08961591622,1.068123102,0.100382039,
1.730051994,-0.09200357535,1.088663101,0.09902412133,
1.768379927,-0.09435443427,1.1092031,0.09619200402,
1.770606041,-0.09666755268,1.1293571,0.0931374245,
1.808363914,-0.09894200536,1.151087046,0.09005337791,
1.810570002,-0.1011768826,1.170227051,0.08679988565,
1.845664024,-0.1033712903,1.192322016,0.0851522073,
1.849880934,-0.105524351,1.211527109,0.08171881383,
1.884510994,-0.1076352033,1.232515097,0.07806096887,
1.889714956,-0.109703003,1.252362013,0.07423570136,
