"/roll_rate_mv/data_x","/roll_rate_mv/data_y","/roll_rate_ref/data_x","/roll_rate_ref/data_y"
0.7588272095,-0.02963815383,0.7589042187,-0.02463117606,
0.7816340923,-0.03111099391,0.7815051079,-0.02389074279,
0.7998831272,-0.02703755083,0.799793005,-0.02314354674,
0.8212480545,-0.02694129015,0.8211750984,-0.02310834061,
0.840790987,-0.02601277506,0.8406801224,-0.02175832554,
0.8615810871,-0.02622562461,0.8614389896,-0.02086760724,
0.8816311359,-0.02367558032,0.8817670345,-0.01997356683,
0.9024660587,-0.02243057929,0.9023230076,-0.01967616171,
0.9226791859,-0.01943382022,0.92258811,-0.01838226408,
0.9438111782,-0.01671607089,0.9438791275,-0.01745513161,
0.9639282227,-0.0147688769,0.9640212059,-0.0169505829,
0.9857840538,-0.01167179132,0.9858620167,-0.01575157729,
1.004894018,-0.0005606216823,1.004989147,-0.01484999996,
1.025967121,-0.007480242017,1.025834084,-0.01381693497,
1.045979023,-0.005179835291,1.045920134,-0.01284096521,
1.066585064,-0.008537824465,1.068028212,-0.01181283103,
1.08714509,-0.01459801397,1.087423086,-0.0105818915,
1.107833147,-0.01211052427,1.107700109,-0.009281953463,
1.128534079,-0.01390126252,1.128301144,-0.0080465113,
1.149260044,-0.01331214276,1.149204016,-0.00649789494,
1.169759035,-0.01415314451,1.169631004,-0.004958095862,
1.190198183,-0.02092437017,1.190075159,-0.003281564256,
1.210627079,-0.01083652359,1.21055007,-0.001636585781,
1.231185198,0.007834309201,1.230967999,-0.0001240140473,
1.251536131,0.0006304169215,1.251684189,0.001846681364,
1.27207613,-0.003525056893,1.272018194,0.003799528564,
1.29253006,-0.01018926321,1.292462111,0.005774121346,
1.313076019,-0.006289626526,1.313021183,0.007628324199,
1.333425999,-0.007768072613,1.333502054,0.009828654507,
1.35383606,-0.006669708183,1.353754997,0.01203718115,
1.374405146,-0.005127467557,1.37433219,0.01402995924,
1.394805193,-0.008146606858,1.394713163,0.01643391709,
1.415389061,-0.007452878497,1.415657043,0.01869687617,
1.436004162,0.00295870368,1.435942173,0.0210583187,
1.456632137,0.01015944583,1.456688166,0.02330928469,
1.476733208,-0.00555269087,1.4764781,0.03092248825,
1.49714303,0.001259141785,1.497071028,0.02559214728,
1.517387152,0.01211085417,1.51731801,0.03609432261,
1.537845135,0.01245668734,1.53792119,0.03596402983,
1.558314085,0.008990430357,1.558142185,0.03869421408,
1.581302166,0.008668922188,1.58144021,0.04130263127,
1.599131107,0.008951697117,1.598983049,0.04415457406,
1.621367216,0.007379904453,1.622548103,0.04694575307,
1.640143156,0.01498376483,1.640013218,0.04964544328,
1.661120176,0.01639579675,1.661176205,0.05259158836,
1.681140184,0.0151736393,1.68119812,0.05562507425,
1.702368021,0.01032837306,1.702762127,0.05857230937,
1.722078085,0.004224309481,1.721971989,0.06157943035,
1.74369216,0.008164910685,1.743533134,0.05800857075,
1.762625217,0.004373085762,1.762706995,0.07129595484,
1.784893036,-1.430517366e-05,1.78461504,0.07065674375,
1.803729057,0.0004115306109,1.803653002,0.07381696712,
1.8259902,0.01152604694,1.825940132,0.0770248198,
1.844521046,0.003908006586,1.844467163,0.08008347121,
1.865429163,0.009738755894,1.865360022,0.08301189714,
1.885614157,0.005340718259,1.885668039,0.08653856708,
1.906144142,0.006176926696,1.906208992,0.08929037993,
1.926402092,0.008500976819,1.926314116,0.0921535652,
1.947015047,0.00971048693,1.94690299,0.08732579558,
1.967814207,0.005944980637,1.967532158,0.102319438,
1.98843503,0.01944134417,1.988218069,0.1003342123,
2.008840084,0.04025061939,2.008782148,0.102585935,
2.029358149,0.03532772393,2.03029418,0.09849922108,
2.049537182,0.04763808609,2.049475193,0.1114047659,
2.070150137,0.05442670332,2.070095062,0.1089751216,
2.090671062,0.0744521467,2.090538025,0.1101524533,
