"/roll_rate_mv/data_x","/roll_rate_mv/data_y","/roll_rate_ref/data_x","/roll_rate_ref/data_y"
1.934751987,-8.16322977e-05,1.934675932,-0.0007023610097,
1.955338001,-0.0003342063398,1.955453873,0.0001477625836,
1.97574687,-0.0006579137274,1.975700855,-0.0002648400715,
1.996115923,-0.0008163280898,1.996274948,-0.0002631460894,
2.016665936,-0.0005694309443,2.01670289,-0.0002377460193,
2.037360907,-0.0003931538829,2.037431955,-0.0002370178729,
2.05774188,-6.640617793e-05,2.057675838,-0.0002471823861,
2.079237938,0.0001303782306,2.079697847,-0.001086092627,
2.098659992,0.0002675923208,2.098721981,-0.0006711135409,
2.119927883,0.0004303013745,2.119992018,-0.0006909431621,
2.1396029,0.0003381996911,2.139553785,-0.0007110999875,
2.159950972,0.0002070661987,2.160035849,-0.0007035818846,
2.180358887,-0.0001626680845,2.180279016,-0.0007111847118,
2.20143795,-0.0004615497178,2.20149684,-0.0006941228498,
2.221257925,-0.0006493064689,2.221158981,-0.0006893578124,
2.24277401,-0.0009791814629,2.244850874,-0.0006596966035,
2.262372971,-0.0008839196319,2.262264013,-0.0006353363051,
2.28447485,-0.000836224828,2.284526825,-0.0006168924443,
2.303159952,-0.0006230726394,2.303195,-0.0006230579116,
2.324635983,-0.0003888517231,2.324327946,-0.0006129623145,
2.344153881,-0.0001668300576,2.344002962,-0.0006206845675,
2.364611864,-3.988245203e-05,2.364462852,-0.0006243935195,
2.385242939,-0.0001169659942,2.385200977,0.0002016423099,
2.405556917,-7.21936387e-05,2.405664921,-0.0002489466312,
2.426015854,-0.0001104425096,2.426080942,-0.0002539513981,
2.446532011,-0.0001286104951,2.44648385,-0.0002527836437,
2.466941833,-0.0002760031598,2.467026949,-0.0002494815633,
2.487474918,-0.0004907370595,2.487518787,-0.0002365162819,
2.507869005,-0.000547150961,2.507929802,-0.0002209377958,
2.528278828,-0.0004365473136,2.528415918,-0.0002204495905,
2.548678875,-0.0004359554551,2.548602819,-0.0002048428743,
2.569191933,-0.0003143802937,2.569137812,-0.0002088418557,
2.589651823,-0.0002939017175,2.589707851,-0.001036966211,
2.610006809,-5.224332785e-05,2.61016202,-0.0006124839942,
2.630670786,-0.0001095566773,2.630539894,-0.000611901948,
2.651198864,-4.930419622e-05,2.651040792,-0.0006212830733,
2.671411991,-4.403238356e-05,2.671334982,-0.0006310543612,
2.691954851,-0.0002378280098,2.692028999,-0.0006292116988,
2.712366819,-0.0003280922007,2.712168932,-0.0006233566874,
2.732941866,-0.0003389892076,2.732783794,-0.0006200046086,
2.753105879,-0.0004862171746,2.753201008,-0.0006061966284,
2.77508688,-0.0003904235031,2.773872852,-0.0006065015366,
2.794416904,-0.0004911998109,2.794303894,-0.0005833619374,
2.814855814,-0.0004086651677,2.814783812,-0.0005760893685,
2.835539818,-0.0001835074926,2.83564496,-0.0005798728637,
2.855986834,-4.400932585e-06,2.856047869,-0.0005807729354,
2.877359867,4.285388211e-05,2.877293825,-0.0005917368346,
2.897010803,0.0002025293286,2.896888971,0.0002212161844,
2.919255018,0.0001524316982,2.917370796,-0.0002166735935,
2.938008785,0.0002516792304,2.938083887,-0.0002353726593,
2.959535837,0.0001962151591,2.959908009,-0.0002435962935,
2.978913784,8.537837358e-05,2.978830814,-0.00107087324,
3.000109911,-4.163381153e-05,2.999675989,-0.0006333045375,
3.019854784,-0.0001673722909,3.019773006,-0.0006189415314,
3.040394783,-0.0002095125998,3.040292978,-0.0006161644016,
3.060889959,-0.0003008159248,3.060800791,-0.0006013459296,
3.082992792,-0.000407824964,3.085381985,0.0002420079724,
3.103356838,-0.0001511145651,3.103515863,-0.0001944446802,
3.123632908,-6.889733568e-05,3.123837948,-0.000199479816,
3.143770933,0.000127362171,3.143847942,-0.0002008352726,
3.164259911,0.000191199133,3.164489985,-0.0002058130952,
3.18451786,0.0001573068064,3.184645891,-0.001041285298,
3.205098867,0.0001262449932,3.205024004,-0.000602241792,
3.225684881,7.529763848e-05,3.225619793,-0.0006076553859,
3.245925903,-0.0001407622813,3.245992899,-0.000601951236,
3.266433001,-0.0003079382818,3.266371965,-0.000596304146,
3.286770821,-0.0005833431446,3.286720991,-0.0005817464374,
3.307241917,-0.0006289407274,3.307344913,-0.000577884375,
3.327703953,-0.0005698302372,3.327757835,-0.0005605571452,
3.34821701,-0.0004169137889,3.348093987,-0.0005585937325,
3.368626833,-0.0004884177539,3.368783951,-0.0005589293116,
3.389417887,-0.0004394557017,3.389310837,-0.0005496779996,
3.409798861,-0.0002179635973,3.409734011,-0.0005518597506,
3.430171967,-0.0001675109246,3.430239916,-0.0005524921659,
3.450761795,1.319928906e-06,3.450583935,-0.0005568828113,
3.471320868,-5.595296349e-05,3.471248865,-0.0005625512639,
3.491840839,-9.300611761e-05,3.491714001,0.0002680246336,
3.512256861,-0.0001420466972,3.512313843,-0.000170490259,
3.532682896,-7.346903311e-05,3.532581806,-0.0001673052224,
3.553157806,-8.49019934e-05,3.553602934,-0.0001672629822,
3.5737679,-0.0002519473366,3.573714018,-0.0001598919847,
3.594333887,-0.0001678148989,3.594213963,-0.0001504954593,
3.614733934,-7.637575431e-05,3.614672899,-0.0001409534053,
3.635345936,-5.702186149e-05,3.63547802,-0.0001442774565,
3.655618906,0.0002585834219,3.655680895,-0.0001508488562,
3.675997972,0.0002141501116,3.676259995,-0.0001586170762,
3.696446896,0.0003274844454,3.696369886,-0.0001694719874,
3.717669964,0.0002217510446,3.717765808,-0.0001685262676,
3.737459898,0.0002756633848,3.737408876,-0.0001761001062,
3.758896828,7.809513022e-05,3.759507895,-0.0001766155229,
3.778354883,3.306695365e-05,3.77845192,-0.0001782723314,
3.799084902,1.141094511e-05,3.799158812,-0.001004359764,
3.81939888,-0.0001102931459,3.819334984,-0.0005611935165,
3.840728998,-0.0001381054309,3.84077692,-0.0005584276143,
3.860480785,-1.371236996e-05,3.860386848,-0.0005505648098,
3.884415865,-8.476770861e-05,3.882264853,-0.0005467743355,
3.901376009,-1.987982137e-05,3.901457787,-0.0005506152649,
3.922508001,0.0001213564123,3.922678947,-0.000555670719,
3.942497015,0.0001490356507,3.942400932,-0.0005607254898,
3.963227987,0.0001617435271,3.963340998,-0.0005658152263,
3.983438015,0.0001262008546,3.983530998,-0.0005651341111,
4.005541801,0.0002115345036,4.006547928,-0.0005788221296,
4.024477005,6.184522011e-05,4.024312973,-0.000584253169,
4.044927835,-2.821037127e-05,4.045110941,-0.0005777390988,
4.065385818,-0.000424509536,4.065306902,-0.0005686298683,
4.08592391,-0.0004219698894,4.085836887,-0.0005568769649,
4.106292963,-0.0003781522595,4.106225967,0.0002741452089,
4.126596928,-0.0002748824017,4.126706839,-0.0001600881965,
4.147117853,-0.0001502529857,4.146991968,-0.0001661761576,
4.167488813,-3.121720265e-05,4.167644978,-0.0001715552535,
4.188057899,4.695877945e-05,4.188116789,-0.0001736304281,
4.208521843,-7.232716767e-07,4.208420992,-0.001017270065,
4.229031801,0.0002081851273,4.228968859,-0.0005878612593,
4.249780893,0.0002306036143,4.249655008,-0.000589457494,
4.269887924,0.0002664258274,4.269731998,-0.000604518042,
4.290270805,0.0001870740518,4.290215969,-0.0006068866409,
4.310811996,4.571399113e-05,4.310735941,-0.000605678965,
4.33134985,7.367829599e-06,4.331179857,-0.0006041330651,
4.351648808,-0.0001115152436,4.351727962,-0.0005998724098,
4.372276783,-9.721034969e-05,4.372245789,-0.0006003437745,
4.392745018,-0.0001423670912,4.392689943,-0.0005980475289,
4.413162947,-0.000223730039,4.413224936,0.0002342596499,
4.433695793,-0.0001596202056,4.433582783,-0.0002005768589,
4.454338789,1.262483635e-05,4.454133987,-0.0002021245372,
4.474669933,4.032531753e-05,4.474603891,-0.0002037499066,
4.495155811,3.540144022e-05,4.495025873,-0.000206831219,
4.515622854,0.0001274443959,4.515681982,-0.001046623832,
4.53599596,0.0001478246216,4.535852909,-0.0006175790569,
4.556540966,-1.530427221e-05,4.55667901,-0.0006166689735,
4.577428818,-5.684132077e-05,4.577359915,-0.0006233039195,
4.599232912,-0.000209967484,4.599550962,-0.0006169913098,
4.617958784,-0.0003069211046,4.617897987,-0.0006091621438,
4.639251947,-0.0002395880959,4.639155865,-0.0006079872325,
4.658899784,-0.0003541425645,4.658819914,-0.0006050280791,
4.679461956,-0.0001550096561,4.679549932,-0.000603680175,
4.699708939,-4.572804244e-05,4.69986701,-0.0006040796698,
4.720465899,-6.235952072e-05,4.720395803,-0.0006046879213,
4.740725994,-1.712972928e-06,4.740899801,-0.000608038088,
4.761421919,-3.878746922e-05,4.765234947,-0.0006129480713,
4.781683922,3.971859798e-05,4.781766891,-0.0006124232367,
4.803403854,8.121726436e-05,4.803326845,-0.0006239724379,
4.823013783,-4.140909054e-05,4.823073864,-0.0006284700793,
4.844427824,-0.0003365200731,4.844985008,-0.0006227569598,
4.864336014,-0.000332910553,4.864266872,-0.0006189350033,
4.88480401,-0.0004233990469,4.884723902,-0.0006075885281,
4.905252934,-0.0002368562269,4.905290842,-0.0006033967898,
4.927376986,-0.0002194674793,4.926896811,-0.000604999863,
4.946075916,-5.647084477e-05,4.945927858,-0.0006071585954,
4.966520786,2.832957662e-06,4.966555834,-0.0006068406422,
4.98691082,-0.0001389554229,4.986991882,-0.0006060201939,
5.007488012,-0.0001536018907,5.007622957,-0.0006049783182,
5.027921915,-0.000125570446,5.027769804,-0.0006044140034,
5.048238993,-0.0001887322233,5.04813385,-0.0006021546874,
5.068646908,-0.0001858242225,5.0686059,-0.0005990820867,
5.088986874,-5.463436629e-05,5.089041948,-0.0006009737331,
5.109470844,-0.0001098145113,5.109540939,-0.0005997037576,
5.12991786,-0.0001209570899,5.129698992,-0.0005941358441,
5.150527954,-7.722515464e-05,5.150211811,-0.0005945745107,
5.171533823,-7.637412339e-05,5.171450853,-0.0005890693995,
5.191401005,3.445145345e-06,5.191470861,-0.0005907014978,
5.211883783,5.181487699e-05,5.21182394,-0.0005945715743,
5.232545853,4.858357877e-05,5.23227787,0.0002355752489,
5.253057957,-0.000104998277,5.252988815,-0.0002016345118,
5.273504019,-6.583792487e-05,5.273413897,-0.0002013641626,
5.293861866,9.36053403e-05,5.293972015,-0.0002037690781,
5.315260887,9.155686223e-05,5.315342903,-0.0002095232917,
5.334779978,2.048456951e-05,5.334861994,-0.001036962196,
5.355454922,-0.0001788145675,5.355546951,-0.0005928940181,
5.375887871,-0.0001741442114,5.375594854,-0.0005857905743,
5.396371841,-2.644719584e-05,5.399653912,-0.0005859886854,
5.41682601,5.255919949e-05,5.416754961,-0.0005897391809,
5.43768692,0.000189983301,5.437719822,-0.0005979003821,
5.457897902,0.0001711145003,5.457798004,-0.00060523613,
5.478761911,6.845514239e-05,5.478886843,-0.0006063341824,
5.498690844,7.412152784e-05,5.498767853,-0.0006071487664,
5.520078897,0.0002029655771,5.52022481,0.0002080869641,
5.539683819,0.0002884499095,5.539710999,-0.0002429084683,
5.560446978,0.0001987169593,5.560086966,-0.0002484848575,
5.580503941,0.0002350750513,5.580617905,-0.0002468465225,
5.601133823,0.0002731333888,5.6012218,-0.0002598809128,
5.621388912,0.0001541010914,5.621303797,-0.001092180394,
5.644591808,0.000146763795,5.644729853,-0.0006550693601,
5.66303587,8.472364086e-05,5.6629529,-0.0006556614717,
5.684396982,6.714263932e-05,5.684484959,-0.00065915838,
5.704082012,8.704049662e-05,5.704195976,-0.0006602236947,
5.725071907,2.706032247e-06,5.724521875,-0.0006640663654,
5.74494195,-2.547789179e-05,5.745049,-0.0006612504279,
5.765525818,2.582763165e-05,5.76718092,-0.0006595830077,
5.785925865,0.0001043825678,5.785835981,-0.0006602532757,
5.806413889,6.439700803e-05,5.806564808,-0.0006607939129,
5.826946974,-3.437299626e-05,5.827020884,-0.0006587008629,
